Epoch 1/400, Train Loss: 0.01346492863066184, Val Loss: 0.01119968470496436, L2 Loss: 0.04604610785268446, LInf Loss: 3.005187332232793
Epoch 2/400, Train Loss: 0.009530232987211396, Val Loss: 0.017497563413344325, L2 Loss: 0.058037265956751745, LInf Loss: 2.833357879718145
Epoch 3/400, Train Loss: 0.007197092001054746, Val Loss: 0.009244912757615869, L2 Loss: 0.04484207615538195, LInf Loss: 2.03716674943765
Epoch 4/400, Train Loss: 0.0071353918452708364, Val Loss: 0.013892397484354054, L2 Loss: 0.05682597320840316, LInf Loss: 1.5439635998010635
Epoch 5/400, Train Loss: 0.004983082346152514, Val Loss: 0.00840021127757306, L2 Loss: 0.03825235526078058, LInf Loss: 2.1933844912052156
Epoch 6/400, Train Loss: 0.004844054333031333, Val Loss: 0.006503882266115397, L2 Loss: 0.034005332145516744, LInf Loss: 1.4023024753729503
Epoch 7/400, Train Loss: 0.0044664328616151276, Val Loss: 0.0046730697997069606, L2 Loss: 0.029590691773625503, LInf Loss: 1.3864263608058294
Epoch 8/400, Train Loss: 0.004153634442821688, Val Loss: 0.015432418336082871, L2 Loss: 0.05904594487951069, LInf Loss: 1.4121960179011026
Epoch 9/400, Train Loss: 0.003502169039954121, Val Loss: 0.006761460167666276, L2 Loss: 0.03377013620176272, LInf Loss: 1.2993291155497233
Epoch 10/400, Train Loss: 0.0035659707395825535, Val Loss: 0.0047770570354380955, L2 Loss: 0.03067268936445879, LInf Loss: 1.2735454746087391
Epoch 11/400, Train Loss: 0.003610385628417134, Val Loss: 0.005117455586053741, L2 Loss: 0.026701087777473074, LInf Loss: 1.0002627103030681
Epoch 12/400, Train Loss: 0.0033247632245668986, Val Loss: 0.03051654449974497, L2 Loss: 0.08015373650517872, LInf Loss: 2.1863564689954122
Epoch 13/400, Train Loss: 0.003758117992595847, Val Loss: 0.005786475710337981, L2 Loss: 0.030521156991609004, LInf Loss: 0.6568597197532654
Epoch 14/400, Train Loss: 0.0031371837810729632, Val Loss: 0.006857213728362694, L2 Loss: 0.034797639380229214, LInf Loss: 1.090136296749115
Epoch 15/400, Train Loss: 0.003507655873593952, Val Loss: 0.0042444336575378355, L2 Loss: 0.026667489271418987, LInf Loss: 0.7521567391355832
Epoch 16/400, Train Loss: 0.0030350243710078454, Val Loss: 0.014309821183172365, L2 Loss: 0.048976580961343115, LInf Loss: 1.560743942161401
Epoch 17/400, Train Loss: 0.003147480583235544, Val Loss: 0.00441942449620304, L2 Loss: 0.025679487171160652, LInf Loss: 0.7781761385997137
Epoch 18/400, Train Loss: 0.002483339518075809, Val Loss: 0.003260660423450948, L2 Loss: 0.022029139042211685, LInf Loss: 0.5515626799066862
Epoch 19/400, Train Loss: 0.0024249698923085815, Val Loss: 0.006813186959188897, L2 Loss: 0.03330244515351198, LInf Loss: 1.3248584334055582
Epoch 20/400, Train Loss: 0.002910507628015087, Val Loss: 0.0031613130000187084, L2 Loss: 0.023136340711759112, LInf Loss: 0.5250564600030582
Epoch 21/400, Train Loss: 0.0025033481846670233, Val Loss: 0.03433339420783644, L2 Loss: 0.07558928695599082, LInf Loss: 1.8433557124932607
Epoch 22/400, Train Loss: 0.0030030255873377126, Val Loss: 0.0038534716340169932, L2 Loss: 0.02329569390453083, LInf Loss: 0.7482422794898351
Epoch 23/400, Train Loss: 0.0024512598310684553, Val Loss: 0.0032347729312217173, L2 Loss: 0.022657620351608485, LInf Loss: 0.39259902174274125
Epoch 24/400, Train Loss: 0.0022840428242003933, Val Loss: 0.003828173732326832, L2 Loss: 0.0247870799815507, LInf Loss: 1.0030900901556015
Epoch 25/400, Train Loss: 0.002025948752295032, Val Loss: 0.004805634425138123, L2 Loss: 0.02576076909442859, LInf Loss: 0.9207986888289451
Epoch 26/400, Train Loss: 0.0021472198248132677, Val Loss: 0.0036698368953269286, L2 Loss: 0.02355798195641723, LInf Loss: 0.9352634578943253
Epoch 27/400, Train Loss: 0.0021297688963386463, Val Loss: 0.0030271998021635226, L2 Loss: 0.02309290975196176, LInf Loss: 0.4871195695797602
Epoch 28/400, Train Loss: 0.001859811055813528, Val Loss: 0.0024735881724821714, L2 Loss: 0.02017212460263445, LInf Loss: 0.7412582071622212
Epoch 29/400, Train Loss: 0.001979685203356591, Val Loss: 0.0031137095471300805, L2 Loss: 0.02406472502233776, LInf Loss: 0.4205773209532102
Epoch 30/400, Train Loss: 0.0019103783871105406, Val Loss: 0.004370807610976044, L2 Loss: 0.027171487161246906, LInf Loss: 0.5846211914221445
Epoch 31/400, Train Loss: 0.001767732366618778, Val Loss: 0.00260795205036023, L2 Loss: 0.021711690247019987, LInf Loss: 0.3186907892425855
Epoch 32/400, Train Loss: 0.001959192592136484, Val Loss: 0.00358549274057926, L2 Loss: 0.0233537787296223, LInf Loss: 0.909127350449562
Epoch 33/400, Train Loss: 0.0017210044795501745, Val Loss: 0.0029260911777964794, L2 Loss: 0.021303673325530563, LInf Loss: 0.5876033843060334
Epoch 34/400, Train Loss: 0.001859775768534746, Val Loss: 0.00389301391512466, L2 Loss: 0.026479840735866584, LInf Loss: 0.7368382331728935
Epoch 35/400, Train Loss: 0.0016619101518638975, Val Loss: 0.001972349661421807, L2 Loss: 0.016648055155605412, LInf Loss: 0.517667329510053
Epoch 36/400, Train Loss: 0.001709273087932767, Val Loss: 0.002233199398324359, L2 Loss: 0.018403346630302977, LInf Loss: 0.28462973748644194
Epoch 37/400, Train Loss: 0.00191521841569435, Val Loss: 0.006032102479366586, L2 Loss: 0.0324572182323757, LInf Loss: 1.2638378085196018
Epoch 38/400, Train Loss: 0.0016653594386783273, Val Loss: 0.0022811304847709835, L2 Loss: 0.01959223367774402, LInf Loss: 0.4188890290260315
Epoch 39/400, Train Loss: 0.0015423781063388256, Val Loss: 0.004988789081592889, L2 Loss: 0.028058611181773017, LInf Loss: 0.5997426174084346
Epoch 40/400, Train Loss: 0.001545940511665928, Val Loss: 0.00226890661084326, L2 Loss: 0.019660094942987472, LInf Loss: 0.4526981215178967
Epoch 41/400, Train Loss: 0.0016527213860535995, Val Loss: 0.002514432476309594, L2 Loss: 0.02083026810401573, LInf Loss: 0.755581761598587
Epoch 42/400, Train Loss: 0.0014947623073627862, Val Loss: 0.0026493511913577095, L2 Loss: 0.021717037647593206, LInf Loss: 0.6452772792180379
Epoch 43/400, Train Loss: 0.0013444941159589992, Val Loss: 0.0025008440427094075, L2 Loss: 0.019632825789230753, LInf Loss: 0.27936048264304797
Epoch 44/400, Train Loss: 0.001562391947809374, Val Loss: 0.002044702386871601, L2 Loss: 0.018495431325829113, LInf Loss: 0.2394892240067323
Epoch 45/400, Train Loss: 0.0015919634678963727, Val Loss: 0.005973833528114483, L2 Loss: 0.03339542986128895, LInf Loss: 1.198264996310075
Epoch 46/400, Train Loss: 0.0013783122989601301, Val Loss: 0.002172328004380688, L2 Loss: 0.01882692600183058, LInf Loss: 0.6261395574112734
Epoch 47/400, Train Loss: 0.0012874395107792226, Val Loss: 0.002159443354078879, L2 Loss: 0.019656178784852544, LInf Loss: 0.3981865758697192
Epoch 48/400, Train Loss: 0.0014049583514861297, Val Loss: 0.002336128010841397, L2 Loss: 0.019105871123421533, LInf Loss: 0.5727862480779489
Epoch 49/400, Train Loss: 0.00134471045860361, Val Loss: 0.0019543937220199343, L2 Loss: 0.01788937396965848, LInf Loss: 0.30478174770871796
Epoch 50/400, Train Loss: 0.0012164676291528545, Val Loss: 0.003802551450886919, L2 Loss: 0.02277210191426834, LInf Loss: 0.6687421346207459
Epoch 51/400, Train Loss: 0.0012610778524928415, Val Loss: 0.002405649311161445, L2 Loss: 0.01953024995459191, LInf Loss: 0.666326730599006
Epoch 52/400, Train Loss: 0.001311114934348249, Val Loss: 0.001870850269770017, L2 Loss: 0.016650850867727416, LInf Loss: 0.4511819232006868
Epoch 53/400, Train Loss: 0.001249197918198964, Val Loss: 0.0023885557878626667, L2 Loss: 0.018039792848426526, LInf Loss: 0.3371657186746597
Epoch 54/400, Train Loss: 0.0013827437715493336, Val Loss: 0.0017703323998527292, L2 Loss: 0.016287084596264385, LInf Loss: 0.4927130061388016
Epoch 55/400, Train Loss: 0.0013875916313069562, Val Loss: 0.0029136787596022867, L2 Loss: 0.019454404093125873, LInf Loss: 0.6094534688691298
Epoch 56/400, Train Loss: 0.0011018078011329636, Val Loss: 0.0015042376625933685, L2 Loss: 0.01541110397085052, LInf Loss: 0.29743796452879906
Epoch 57/400, Train Loss: 0.001177945721404588, Val Loss: 0.0028535387688316404, L2 Loss: 0.02033296001245208, LInf Loss: 0.8115622697770596
Epoch 58/400, Train Loss: 0.0013459367905791927, Val Loss: 0.0051571052467140055, L2 Loss: 0.03046211437392063, LInf Loss: 1.077281106809775
Epoch 59/400, Train Loss: 0.0010816955218736742, Val Loss: 0.0022680006225709805, L2 Loss: 0.018567337268174902, LInf Loss: 0.23097521364688872
Epoch 60/400, Train Loss: 0.0010310059905896196, Val Loss: 0.0027039151382632553, L2 Loss: 0.020719669470192943, LInf Loss: 0.7649738256136577
Epoch 61/400, Train Loss: 0.0009670425143485773, Val Loss: 0.0016325248308324567, L2 Loss: 0.015667788787986123, LInf Loss: 0.4251121555268764
Epoch 62/400, Train Loss: 0.0012106698058657155, Val Loss: 0.0016024641341452176, L2 Loss: 0.01526663214415409, LInf Loss: 0.33114707976579666
Epoch 63/400, Train Loss: 0.0008948817379374911, Val Loss: 0.002052853387237216, L2 Loss: 0.01727309772257547, LInf Loss: 0.4613230950633685
Epoch 64/400, Train Loss: 0.0012488408152057672, Val Loss: 0.002363341500458773, L2 Loss: 0.018786985001685325, LInf Loss: 0.4874901497364044
Epoch 65/400, Train Loss: 0.001139700122572928, Val Loss: 0.0024275624012807385, L2 Loss: 0.02159631363333089, LInf Loss: 0.778587999343872
Epoch 66/400, Train Loss: 0.0009996618704220357, Val Loss: 0.0017315202094323467, L2 Loss: 0.015903391334175357, LInf Loss: 0.4341366089880466
Epoch 67/400, Train Loss: 0.0009017502313023821, Val Loss: 0.0021676104850970055, L2 Loss: 0.019513403779917577, LInf Loss: 0.5834962257742882
Epoch 68/400, Train Loss: 0.0010404676406202877, Val Loss: 0.0019844769825188755, L2 Loss: 0.017437993091302062, LInf Loss: 0.6882387866576513
Epoch 69/400, Train Loss: 0.0010070005903374598, Val Loss: 0.001963200878429537, L2 Loss: 0.017724370091706406, LInf Loss: 0.37684477150440215
Epoch 70/400, Train Loss: 0.0013272186878384674, Val Loss: 0.002209415671629055, L2 Loss: 0.0196117546693686, LInf Loss: 0.36830714250604313
Epoch 71/400, Train Loss: 0.0007784135086694732, Val Loss: 0.0015833436992640296, L2 Loss: 0.015629085884790995, LInf Loss: 0.5143646563589573
Epoch 72/400, Train Loss: 0.0009183430020614954, Val Loss: 0.0018075558144967849, L2 Loss: 0.016389946617181215, LInf Loss: 0.4661637598276138
Epoch 73/400, Train Loss: 0.00088956169965968, Val Loss: 0.0013503311761693718, L2 Loss: 0.014350574154987571, LInf Loss: 0.2648714749018351
Epoch 74/400, Train Loss: 0.000891804997396927, Val Loss: 0.001503268006442037, L2 Loss: 0.015103923765880491, LInf Loss: 0.2773772665858269
Epoch 75/400, Train Loss: 0.0009389345194843675, Val Loss: 0.0015264728133721898, L2 Loss: 0.01519958265917953, LInf Loss: 0.4890540880958239
Epoch 76/400, Train Loss: 0.001053432379909888, Val Loss: 0.0023403932716852677, L2 Loss: 0.019012651331504028, LInf Loss: 0.4823559288183848
Epoch 77/400, Train Loss: 0.0009257365675269587, Val Loss: 0.0018346681781986262, L2 Loss: 0.01730439831832617, LInf Loss: 0.7161361652612687
Epoch 78/400, Train Loss: 0.0007135024130184319, Val Loss: 0.0013372432558389847, L2 Loss: 0.01359880058577227, LInf Loss: 0.3694069780409336
Epoch 79/400, Train Loss: 0.0008192479837210461, Val Loss: 0.0028896160138538107, L2 Loss: 0.02155161062565334, LInf Loss: 0.5963268629709879
Epoch 80/400, Train Loss: 0.0010343625384606032, Val Loss: 0.0024085837089902877, L2 Loss: 0.017388424400558527, LInf Loss: 0.47531562015414236
Epoch 81/400, Train Loss: 0.0006746924738035887, Val Loss: 0.0017074809940822889, L2 Loss: 0.01587640307576379, LInf Loss: 0.4144003663460414
Epoch 82/400, Train Loss: 0.0007982238644278065, Val Loss: 0.002106500581673269, L2 Loss: 0.017162004332097622, LInf Loss: 0.38841976014276347
Epoch 83/400, Train Loss: 0.0007575316420237263, Val Loss: 0.0014586089668834272, L2 Loss: 0.01506953259036966, LInf Loss: 0.3955159496267637
Epoch 84/400, Train Loss: 0.0008664529811843143, Val Loss: 0.0017355319532604578, L2 Loss: 0.01593322547681178, LInf Loss: 0.558923610051473
Epoch 85/400, Train Loss: 0.0007601727371487262, Val Loss: 0.0016845275662490168, L2 Loss: 0.016464166799870016, LInf Loss: 0.3789784329632918
Epoch 86/400, Train Loss: 0.0006929390839165232, Val Loss: 0.0015131558003486133, L2 Loss: 0.014705938226011798, LInf Loss: 0.35882270127534865
Epoch 87/400, Train Loss: 0.0008530166811518332, Val Loss: 0.001536688115860064, L2 Loss: 0.01455714767615311, LInf Loss: 0.4140755339960257
Epoch 88/400, Train Loss: 0.0007590989311696225, Val Loss: 0.0014817307821067517, L2 Loss: 0.01437948522735715, LInf Loss: 0.536059226791064
Epoch 89/400, Train Loss: 0.0006373069943704953, Val Loss: 0.0014532078863218581, L2 Loss: 0.01440509805785078, LInf Loss: 0.5277933697899183
Epoch 90/400, Train Loss: 0.0006835908555391749, Val Loss: 0.001563066855208793, L2 Loss: 0.015461827581098323, LInf Loss: 0.20848518545428912
Epoch 91/400, Train Loss: 0.000771044979604388, Val Loss: 0.0019411425796473244, L2 Loss: 0.016364594874472223, LInf Loss: 0.5116771308581034
Epoch 92/400, Train Loss: 0.0006860470920582884, Val Loss: 0.0015635200651013292, L2 Loss: 0.016117533704306047, LInf Loss: 0.3906974783043067
Epoch 93/400, Train Loss: 0.0006901487440821559, Val Loss: 0.0013189251085471672, L2 Loss: 0.013772113306104004, LInf Loss: 0.37236028507351876
Epoch 94/400, Train Loss: 0.0006731109621856983, Val Loss: 0.0013868649191378305, L2 Loss: 0.014345235211819667, LInf Loss: 0.3668140549461047
Epoch 95/400, Train Loss: 0.0006488679626878972, Val Loss: 0.0013130509485199582, L2 Loss: 0.013199658210341325, LInf Loss: 0.3065453478197257
Epoch 96/400, Train Loss: 0.0009906167887311313, Val Loss: 0.002282670134251627, L2 Loss: 0.020157820091322203, LInf Loss: 0.36055757058163485
Epoch 97/400, Train Loss: 0.0005939060024805561, Val Loss: 0.001253094004690259, L2 Loss: 0.01353796862498344, LInf Loss: 0.43138152609268826
Epoch 98/400, Train Loss: 0.0005981771081011782, Val Loss: 0.0018790096788628336, L2 Loss: 0.018050774131346894, LInf Loss: 0.49652968416611354
Epoch 99/400, Train Loss: 0.00055628778947721, Val Loss: 0.001735430521487918, L2 Loss: 0.015321790582590908, LInf Loss: 0.42195421904325486
Epoch 100/400, Train Loss: 0.000767142176712999, Val Loss: 0.0015826264276984148, L2 Loss: 0.014484514219653584, LInf Loss: 0.5077806792656581
Epoch 101/400, Train Loss: 0.0006409933287795866, Val Loss: 0.0017105443697073496, L2 Loss: 0.015658847503388376, LInf Loss: 0.4160773562888304
Epoch 102/400, Train Loss: 0.0006442170890295529, Val Loss: 0.0014132127009118753, L2 Loss: 0.013993719350412945, LInf Loss: 0.37860152340183656
Epoch 103/400, Train Loss: 0.0007186274221506514, Val Loss: 0.0016799755930454316, L2 Loss: 0.01514209114953107, LInf Loss: 0.42834348551928997
Epoch 104/400, Train Loss: 0.000654269698219044, Val Loss: 0.0017874227758147754, L2 Loss: 0.016082118924583246, LInf Loss: 0.4479178087661664
Epoch 105/400, Train Loss: 0.0005734729936739313, Val Loss: 0.002057109290811544, L2 Loss: 0.016703995650528467, LInf Loss: 0.3680023846775293
Epoch 106/400, Train Loss: 0.0006563005996698242, Val Loss: 0.0014898073832834294, L2 Loss: 0.013517715895168154, LInf Loss: 0.3184250761568546
Epoch 107/400, Train Loss: 0.0006500241520431397, Val Loss: 0.0016515978139553529, L2 Loss: 0.016565027302258634, LInf Loss: 0.3720881509780884
Epoch 108/400, Train Loss: 0.0006407556856235411, Val Loss: 0.0015180785579044216, L2 Loss: 0.014819572698191263, LInf Loss: 0.3661038511494796
Epoch 109/400, Train Loss: 0.0005881173589053409, Val Loss: 0.0015534402800161237, L2 Loss: 0.014224720066540858, LInf Loss: 0.2508727492392063
