Epoch 1/400, Train Loss: 412404.6309637912, Val Loss: 33.13455921173096, L2 Loss: 2.796781454167175, LInf Loss: 7.128611033757528
Epoch 2/400, Train Loss: 43.03354652643204, Val Loss: 14.878914397557576, L2 Loss: 1.8972508157131642, LInf Loss: 5.151192661921184
Epoch 3/400, Train Loss: 25.924382422765095, Val Loss: 31.905733852386476, L2 Loss: 2.6231191783688534, LInf Loss: 8.170063568751017
Epoch 4/400, Train Loss: 34.151337316036226, Val Loss: 129.60175629297893, L2 Loss: 5.428352624105615, LInf Loss: 14.408084796269735
Epoch 5/400, Train Loss: 49.56610779802004, Val Loss: 8.99086549758911, L2 Loss: 1.4702023022795379, LInf Loss: 4.475613680680593
Epoch 6/400, Train Loss: 9.723386087814967, Val Loss: 8.409167388280233, L2 Loss: 1.423959219995387, LInf Loss: 4.162450561523437
Epoch 7/400, Train Loss: 15.833569383621215, Val Loss: 4.471562787691752, L2 Loss: 1.0479029303723042, LInf Loss: 3.9631940778096517
Epoch 8/400, Train Loss: 3.443841166893641, Val Loss: 2.3077780656019846, L2 Loss: 0.7437782286602302, LInf Loss: 2.948695726394653
Epoch 9/400, Train Loss: 1.84447515035669, Val Loss: 1.2168986598650615, L2 Loss: 0.5489503485971388, LInf Loss: 3.0854681785901388
Epoch 10/400, Train Loss: 0.9402667652567228, Val Loss: 0.8006445783376693, L2 Loss: 0.44118778574645534, LInf Loss: 2.9202792183558146
Epoch 11/400, Train Loss: 1.0817242759217818, Val Loss: 0.6990976915756861, L2 Loss: 0.41391671615570713, LInf Loss: 3.0086672755082446
Epoch 12/400, Train Loss: 19460005.85561721, Val Loss: 326294.7200260417, L2 Loss: 275.22146944308554, LInf Loss: 674.9332733154297
Epoch 13/400, Train Loss: 5793233704.011992, Val Loss: 421971.71203125, L2 Loss: 315.99147148157186, LInf Loss: 1747.245819498698
Epoch 14/400, Train Loss: 551135.38734375, Val Loss: 306254.1563541667, L2 Loss: 271.1102957844095, LInf Loss: 1950.736942545573
Epoch 15/400, Train Loss: 737827.2551822916, Val Loss: 262316.84260416665, L2 Loss: 252.06654863829104, LInf Loss: 1553.6674731445312
Epoch 16/400, Train Loss: 8.450835974201552e+20, Val Loss: 2.099341215268235e+17, L2 Loss: 24195568.990012307, LInf Loss: 909238739.1794361
Epoch 17/400, Train Loss: 2.079841530054443e+18, Val Loss: 0.07710817530751228, L2 Loss: 0.13267872232435887, LInf Loss: 3.0897274581591287
Epoch 18/400, Train Loss: 4.616065739744696e+16, Val Loss: 0.0773838290075461, L2 Loss: 0.13305873689197362, LInf Loss: 3.1046107117335002
Epoch 19/400, Train Loss: 4637158679185981.0, Val Loss: 0.07750387355685234, L2 Loss: 0.13249231695584507, LInf Loss: 3.017004788915316
Epoch 20/400, Train Loss: 68868533576007.7, Val Loss: 0.07752362656096617, L2 Loss: 0.13322631109328492, LInf Loss: 3.0945547582705815
Epoch 21/400, Train Loss: 0.08465780814488728, Val Loss: 0.07752362626294294, L2 Loss: 0.13215452210388384, LInf Loss: 2.964995179772377
Epoch 22/400, Train Loss: 0.08465780835598707, Val Loss: 0.07752362611393133, L2 Loss: 0.13286474736780413, LInf Loss: 3.0721264203389484
Epoch 23/400, Train Loss: 0.08465780867263675, Val Loss: 0.0775236265361309, L2 Loss: 0.1325034639342346, LInf Loss: 2.99303884267807
Epoch 24/400, Train Loss: 0.0846578089458247, Val Loss: 0.07752362690865994, L2 Loss: 0.13302826286062105, LInf Loss: 3.0861348899205527
Epoch 25/400, Train Loss: 0.0846578084739546, Val Loss: 0.07752362623810768, L2 Loss: 0.13234659357935635, LInf Loss: 2.996856421629588
Epoch 26/400, Train Loss: 0.08465780845532815, Val Loss: 0.07752362740536531, L2 Loss: 0.13312488986399154, LInf Loss: 3.0937683510780336
Epoch 27/400, Train Loss: 0.08465780854225159, Val Loss: 0.07752362554272016, L2 Loss: 0.13271484165975497, LInf Loss: 3.077000414530436
Epoch 28/400, Train Loss: 0.08465780868505438, Val Loss: 0.07752362693349521, L2 Loss: 0.1331133270263672, LInf Loss: 3.0926929553349813
Epoch 29/400, Train Loss: 0.08465780885269245, Val Loss: 0.07752362613876661, L2 Loss: 0.13244158312454768, LInf Loss: 3.0210604349772137
Epoch 30/400, Train Loss: 0.08465780875335137, Val Loss: 0.07752362680931886, L2 Loss: 0.13268094062183075, LInf Loss: 3.0754426314433414
Epoch 31/400, Train Loss: 0.08465780843670169, Val Loss: 0.07752362569173177, L2 Loss: 0.1329875411539395, LInf Loss: 3.104264613787333
Epoch 32/400, Train Loss: 0.08465780844291051, Val Loss: 0.07752362574140231, L2 Loss: 0.13311792317668514, LInf Loss: 3.084016160170237
Epoch 33/400, Train Loss: 0.08465780869747201, Val Loss: 0.07752362603942553, L2 Loss: 0.13210671347103622, LInf Loss: 3.0251118632157645
Epoch 34/400, Train Loss: 0.0846578080765903, Val Loss: 0.0775236265361309, L2 Loss: 0.13231140654303242, LInf Loss: 2.9876058983802793
Epoch 35/400, Train Loss: 0.08465780890236298, Val Loss: 0.07752362601459026, L2 Loss: 0.13224984524223588, LInf Loss: 2.9732987101872763
Epoch 36/400, Train Loss: 0.08465780880302191, Val Loss: 0.07752362631261349, L2 Loss: 0.13293881868585133, LInf Loss: 3.0971886201699577
Epoch 37/400, Train Loss: 0.08465780872230728, Val Loss: 0.0775236259152492, L2 Loss: 0.13275542237442917, LInf Loss: 3.020086496671041
Epoch 38/400, Train Loss: 0.08465780857950449, Val Loss: 0.07752362529436747, L2 Loss: 0.13256096996051064, LInf Loss: 3.016223408381144
Epoch 39/400, Train Loss: 0.08465780905758341, Val Loss: 0.07752362651129564, L2 Loss: 0.13288569072765694, LInf Loss: 3.118572847247124
Epoch 40/400, Train Loss: 0.08465780851741632, Val Loss: 0.07752362715701262, L2 Loss: 0.13301128320264713, LInf Loss: 3.0913640999794008
Epoch 41/400, Train Loss: 0.08465780842428407, Val Loss: 0.07752362576623757, L2 Loss: 0.13306093453583348, LInf Loss: 3.0950087161858875
Epoch 42/400, Train Loss: 0.08465780868505438, Val Loss: 0.07752362626294294, L2 Loss: 0.13267509679427272, LInf Loss: 3.028950030008952
Epoch 43/400, Train Loss: 0.08465780838703116, Val Loss: 0.07752362628777822, L2 Loss: 0.13314860115623595, LInf Loss: 3.110770812034607
Epoch 44/400, Train Loss: 0.08465780798966686, Val Loss: 0.07752362601459026, L2 Loss: 0.13246505055486646, LInf Loss: 3.004743891557058
Epoch 45/400, Train Loss: 0.08465780858571331, Val Loss: 0.07752362559239069, L2 Loss: 0.13298640052710803, LInf Loss: 3.076341912349065
Epoch 46/400, Train Loss: 0.08465780859813093, Val Loss: 0.07752362596491973, L2 Loss: 0.13276333325529746, LInf Loss: 3.086936538418134
Epoch 47/400, Train Loss: 0.08465780823801955, Val Loss: 0.07752362700800101, L2 Loss: 0.13316427834268801, LInf Loss: 3.090655780633291
Epoch 48/400, Train Loss: 0.08465780824422836, Val Loss: 0.07752362618843714, L2 Loss: 0.13246140282836832, LInf Loss: 3.055158809820811
Epoch 49/400, Train Loss: 0.08465780849258105, Val Loss: 0.07752362621327241, L2 Loss: 0.13335250446396724, LInf Loss: 3.1283547763029733
Epoch 50/400, Train Loss: 0.0846578090203305, Val Loss: 0.07752362589041392, L2 Loss: 0.13309692452487337, LInf Loss: 3.11075035850207
Epoch 51/400, Train Loss: 0.08465780846153696, Val Loss: 0.0775236271818479, L2 Loss: 0.13203057420385947, LInf Loss: 2.983113031387329
Epoch 52/400, Train Loss: 0.08465780887752772, Val Loss: 0.07752362656096617, L2 Loss: 0.13367182050432477, LInf Loss: 3.1939390283823013
Epoch 53/400, Train Loss: 0.08465780895824233, Val Loss: 0.07752362668514251, L2 Loss: 0.1328273132682546, LInf Loss: 3.05816209713618
Epoch 54/400, Train Loss: 0.08465780499701699, Val Loss: 0.07752361953258514, L2 Loss: 0.13279204187561158, LInf Loss: 3.0363259426752727
Epoch 55/400, Train Loss: 0.08465780148903529, Val Loss: 0.07752361632883549, L2 Loss: 0.13215647648303092, LInf Loss: 2.944253546396891
Epoch 56/400, Train Loss: 0.08465779562170307, Val Loss: 0.07752361138661702, L2 Loss: 0.13318170994150813, LInf Loss: 3.104481660922368
Epoch 57/400, Train Loss: 0.08465778699144721, Val Loss: 0.07752359822392464, L2 Loss: 0.1321787548625073, LInf Loss: 3.007836762269338
Epoch 58/400, Train Loss: 0.08465775785967708, Val Loss: 0.0775235530982415, L2 Loss: 0.13211468830345038, LInf Loss: 2.949260806242625
Epoch 59/400, Train Loss: 0.08465768024325371, Val Loss: 0.07752345117429892, L2 Loss: 0.1336373393238563, LInf Loss: 3.1478266918659212
Epoch 60/400, Train Loss: 0.08465759368613363, Val Loss: 0.07752338642875353, L2 Loss: 0.1329104619234587, LInf Loss: 3.1469547255833943
Epoch 61/400, Train Loss: 0.08465748288979133, Val Loss: 0.07752318752308686, L2 Loss: 0.13280341519768227, LInf Loss: 3.07601979970932
Epoch 62/400, Train Loss: 0.08465729591747125, Val Loss: 0.07752307193974654, L2 Loss: 0.13202742082032204, LInf Loss: 2.9701586600144703
Epoch 63/400, Train Loss: 0.08465712829182545, Val Loss: 0.07752286198238532, L2 Loss: 0.1325495216882237, LInf Loss: 3.0091667580604553
Epoch 64/400, Train Loss: 0.08465687802061439, Val Loss: 0.07752261412640413, L2 Loss: 0.13258151149563124, LInf Loss: 3.006762168208758
Epoch 65/400, Train Loss: 0.08465660315006972, Val Loss: 0.07752230567236741, L2 Loss: 0.13344463918229296, LInf Loss: 3.151624213854472
Epoch 66/400, Train Loss: 0.08465613219887018, Val Loss: 0.07752172792951266, L2 Loss: 0.132461844566828, LInf Loss: 3.054571249485016
Epoch 67/400, Train Loss: 0.08465541175877055, Val Loss: 0.07752081563075383, L2 Loss: 0.13291782620523934, LInf Loss: 3.1218651807308198
Epoch 68/400, Train Loss: 0.08465421669806043, Val Loss: 0.0775195394953092, L2 Loss: 0.1326447722652109, LInf Loss: 3.075579457481702
Epoch 69/400, Train Loss: 0.08465246421595414, Val Loss: 0.07751657597720624, L2 Loss: 0.13291707600632752, LInf Loss: 3.0456677536169687
Epoch 70/400, Train Loss: 0.08464942836513122, Val Loss: 0.07751437758406003, L2 Loss: 0.13284634753760372, LInf Loss: 3.104435509443283
Epoch 71/400, Train Loss: 0.084646301108102, Val Loss: 0.07751014525691668, L2 Loss: 0.13279218177272836, LInf Loss: 3.047514386177063
Epoch 72/400, Train Loss: 0.08464194920534888, Val Loss: 0.07750664946933587, L2 Loss: 0.1331719264498895, LInf Loss: 3.1154923097292584
Epoch 73/400, Train Loss: 0.08463781804467241, Val Loss: 0.07750207558274269, L2 Loss: 0.13301372893869054, LInf Loss: 3.090989569822947
Epoch 74/400, Train Loss: 0.08463268673668305, Val Loss: 0.07749677538871765, L2 Loss: 0.1327560281473596, LInf Loss: 2.9842309453090032
