Epoch 1/100, Train Loss: 62160.06547568328, Val Loss: 2.2194386458396913
Epoch 2/100, Train Loss: 0.14608566718176008, Val Loss: 0.038228326886892317
Epoch 3/100, Train Loss: 0.03312336494214833, Val Loss: 0.026061339750885964
Epoch 4/100, Train Loss: 0.03454375897534192, Val Loss: 0.01726097097620368
Epoch 5/100, Train Loss: 0.01694498975062743, Val Loss: 0.023628620840609075
Epoch 6/100, Train Loss: 0.03948011035332456, Val Loss: 0.022488805800676345
Epoch 7/100, Train Loss: 0.029363565898966045, Val Loss: 0.01259500851854682
Epoch 8/100, Train Loss: 0.01896843140013516, Val Loss: 0.09620451493188739
Epoch 9/100, Train Loss: 0.2379061579029076, Val Loss: 0.017200806317850946
Epoch 10/100, Train Loss: 0.01320938449818641, Val Loss: 0.013928583012893797
Epoch 11/100, Train Loss: 0.009733925242908299, Val Loss: 0.009272698620334268
Epoch 12/100, Train Loss: 0.00782658833777532, Val Loss: 0.007924337312579155
Epoch 13/100, Train Loss: 0.006875062065664679, Val Loss: 0.0070354765933007
Epoch 14/100, Train Loss: 0.006609941365895793, Val Loss: 0.007404434713535011
Epoch 15/100, Train Loss: 0.006149296547519043, Val Loss: 0.007041257000528276
Epoch 16/100, Train Loss: 0.006100387903861701, Val Loss: 0.006446135593578219
Epoch 17/100, Train Loss: 0.006044784475816414, Val Loss: 0.007420271430164576
Epoch 18/100, Train Loss: 0.0058176477311644706, Val Loss: 0.005885869581252336
Epoch 19/100, Train Loss: 0.005872035173233599, Val Loss: 0.006256550713442266
Epoch 20/100, Train Loss: 0.0055706540285609665, Val Loss: 0.005605877130292356
Epoch 21/100, Train Loss: 0.005548478163545951, Val Loss: 0.005387537875212729
Epoch 22/100, Train Loss: 0.005719814115436748, Val Loss: 0.005145963244140148
Epoch 23/100, Train Loss: 0.005053962673991918, Val Loss: 0.0056176921119913455
Epoch 24/100, Train Loss: 0.006016381462104619, Val Loss: 0.005068497825413942
Epoch 25/100, Train Loss: 0.0058455521520227195, Val Loss: 0.006608773949556053
Epoch 26/100, Train Loss: 0.00851862201350741, Val Loss: 0.007589067555963993
Epoch 27/100, Train Loss: 0.039154742150567474, Val Loss: 0.06260594680905342
Epoch 28/100, Train Loss: 0.020518696452490985, Val Loss: 0.009951424663886427
Epoch 29/100, Train Loss: 0.007195269035873935, Val Loss: 0.00934365131892264
Epoch 30/100, Train Loss: 0.007288504800526425, Val Loss: 0.007517053661867976
Epoch 31/100, Train Loss: 0.007588484867010265, Val Loss: 0.00699469892308116
Epoch 32/100, Train Loss: 4094.078781586677, Val Loss: 251.2990885925293
Epoch 33/100, Train Loss: 9.539147648727521, Val Loss: 0.029808545112609865
Epoch 34/100, Train Loss: 0.025109894550405444, Val Loss: 0.022107111010700464
Epoch 35/100, Train Loss: 0.020067140916362403, Val Loss: 0.018909652046859265
